#File name --> SquareLakePopn.txt
#Simulated lengths, weights, sexes, and ages for the
#  population of 1014 fish in "Square Lake".
#  Lengths are in mm, weights are in grams.
#  File was sorted by Age
#
tl	fl	sl	w	age	sex
156	151	142	31.28	7	M
129	124	116	17.20	7	F
156	151	142	27.63	7	M
180	166	158	56.94	7	F
174	168	160	43.37	7	F
145	140	132	33.67	7	F
173	164	157	45.73	7	M
144	135	127	34.32	7	F
143	136	128	35.12	7	M
139	128	117	25.14	7	F
167	161	153	35.45	7	M
176	168	158	42.70	7	M
158	153	142	46.17	7	F
165	163	158	35.72	7	F
173	166	157	52.35	7	F
139	133	127	23.65	7	F
166	159	151	42.24	7	M
164	156	150	42.25	7	M
154	141	135	32.40	7	F
144	141	132	40.11	7	F
165	158	151	34.43	8	F
153	146	140	24.18	8	M
158	148	140	50.23	8	M
163	155	149	40.82	8	F
167	159	148	50.66	8	M
175	167	158	41.75	8	M
159	151	144	38.82	8	M
193	187	177	61.83	9	M
186	180	169	67.23	9	F
203	195	183	89.45	9	F
188	180	170	72.71	9	F
